game_number,first_player,result,outcome
0,bot1,1,bot1_win
1,bot2,-1,bot2_win
2,bot1,1,bot1_win
3,bot2,-1,bot2_win
4,bot1,-1,bot2_win
5,bot2,-1,bot2_win
6,bot1,-1,bot2_win
7,bot2,1,bot1_win
8,bot1,1,bot1_win
9,bot2,-1,bot2_win
10,bot1,1,bot1_win
11,bot2,-1,bot2_win
12,bot1,1,bot1_win
13,bot2,-1,bot2_win
14,bot1,-1,bot2_win
15,bot2,1,bot1_win
16,bot1,1,bot1_win
17,bot2,-1,bot2_win
18,bot1,1,bot1_win
19,bot2,-1,bot2_win
20,bot1,1,bot1_win
21,bot2,-1,bot2_win
22,bot1,-1,bot2_win
23,bot2,1,bot1_win
24,bot1,1,bot1_win
25,bot2,1,bot1_win
26,bot1,1,bot1_win
27,bot2,-1,bot2_win
28,bot1,1,bot1_win
29,bot2,1,bot1_win
30,bot1,1,bot1_win
31,bot2,1,bot1_win
32,bot1,1,bot1_win
33,bot2,-1,bot2_win
34,bot1,1,bot1_win
35,bot2,1,bot1_win
36,bot1,-1,bot2_win
37,bot2,1,bot1_win
38,bot1,-1,bot2_win
39,bot2,1,bot1_win
40,bot1,1,bot1_win
41,bot2,-1,bot2_win
42,bot1,1,bot1_win
43,bot2,-1,bot2_win
44,bot1,1,bot1_win
45,bot2,-1,bot2_win
46,bot1,1,bot1_win
47,bot2,-1,bot2_win
48,bot1,-1,bot2_win
49,bot2,-1,bot2_win
50,bot1,1,bot1_win
51,bot2,-1,bot2_win
52,bot1,-1,bot2_win
53,bot2,-1,bot2_win
54,bot1,1,bot1_win
55,bot2,-1,bot2_win
56,bot1,1,bot1_win
57,bot2,-1,bot2_win
58,bot1,-1,bot2_win
59,bot2,-1,bot2_win
60,bot1,-1,bot2_win
61,bot2,1,bot1_win
62,bot1,-1,bot2_win
63,bot2,1,bot1_win
64,bot1,1,bot1_win
65,bot2,1,bot1_win
66,bot1,-1,bot2_win
67,bot2,-1,bot2_win
68,bot1,-1,bot2_win
69,bot2,1,bot1_win
70,bot1,-1,bot2_win
71,bot2,1,bot1_win
72,bot1,1,bot1_win
73,bot2,1,bot1_win
74,bot1,1,bot1_win
75,bot2,1,bot1_win
76,bot1,-1,bot2_win
77,bot2,1,bot1_win
78,bot1,-1,bot2_win
79,bot2,-1,bot2_win
80,bot1,1,bot1_win
81,bot2,1,bot1_win
82,bot1,-1,bot2_win
83,bot2,1,bot1_win
84,bot1,1,bot1_win
85,bot2,-1,bot2_win
86,bot1,-1,bot2_win
87,bot2,-1,bot2_win
88,bot1,-1,bot2_win
89,bot2,-1,bot2_win
90,bot1,1,bot1_win
91,bot2,1,bot1_win
92,bot1,1,bot1_win
93,bot2,1,bot1_win
94,bot1,1,bot1_win
95,bot2,1,bot1_win
96,bot1,-1,bot2_win
97,bot2,1,bot1_win
98,bot1,-1,bot2_win
99,bot2,-1,bot2_win
